type,priority,id,date,title,abstract
Robot Initial,0,5676582,14/10/1997,Rolling toy," A rolling toy includes a sphere body composed of two parts between which a axle is connected, a frame disposed in the sphere body and having a motor disposed thereto which is mechanically connected to a gear assembly, an end gear of the gear assembly fixedly mounted to the axle, a magnetic switch disposed to the frame and including a switch element and a first magnetic element, a weight disposed to the frame and located opposite to the first magnetic element, a second magnetic element magnetically adhered to an outer surface of the sphere body and magnetically lifting the first magnetic element so as to actuate the magnetic switch to let the gear assembly be operated such that when the sphere is rolled, the second magnetic element will always be magnetically adhered to an upper position of the rolling sphere body. "
Robot Initial,0,5893791,13/4/1999,Remote controlled rolling toy, A simulated game using miniature animate or inanimate objects which are intended to move in a direction and/or toward or away from each other includes utilizing a hollow ball or other rolling toy for at least some of the miniature objects. Movement of the toy is controlled by a remote controlled unit. In a preferred practice of the invention a frame is detachably mounted over the toy. The frame supports three dimensional structure simulating the object. 
Robot Initial,0,5924909,20/7/1999,Self-propelling rolling toy," A self-propelling rolling toy includes a transparent spherical outer casing, a coupling rod provided in and coupled non-rotatably to the outer casing, a horizontal transmission shaft mounted rotatably in the outer casing, an inner body mounted rotatably on the shaft inside the outer casing, a clutch operable to lock selectively the inner body to the outer casing, and a winding-type driving unit disposed in the inner body. The driving unit includes a spiral energy spring with an innermost end coupled to the shaft and an outermost end coupled to the inner body, a ratchet and pawl unit provided on the shaft, and a gear set which couples the ratchet and pawl unit and the coupling rod. The ratchet and pawl unit prevents rotation of the shaft from being transmitted to the coupling rod when the shaft is rotated in a first direction while the inner body is locked to the outer casing to permit winding of the spring, and permits rotation of the shaft in an opposite second direction due to operating energy stored in the spring to be transferred to the outer casing while the inner body is unlocked from the outer casing. "
Robot Initial,0,5947793,7/9/1999,Self-propelling rolling toy," A self-propelling rolling toy includes a transparent spherical outer casing, a coupling rod provided in and coupled non-rotatably to the outer casing, a horizontal transmission shaft mounted rotatably in the outer casing, an inner body mounted rotatably on the shaft inside the outer casing, a clutch operable to lock selectively the inner body to the coupling rod, and a winding-type driving unit disposed in the inner body. The driving unit includes a spiral energy spring with an innermost end coupled to the shaft and an outermost end coupled to the inner body, a ratchet and pawl unit provided on the shaft, and a gear set which couples the ratchet and pawl unit and the coupling rod. The ratchet and pawl unit prevents rotation of the shaft from being transmitted to the coupling rod when the shaft is rotated in a first direction while the inner body is locked to the coupling rod to permit winding of the spring, and permits rotation of the shaft in an opposite second direction due to operating energy stored in the spring to be transferred to the outer casing while the inner body is unlocked from the coupling rod. "
Robot Initial,0,6071167,6/6/2000,Toy that generates rolling movement," A toy includes a spherical outer casing, a circular coupling ring, a support member, a base and an inner toy body. The coupling ring is disposed around the outer casing, and is mounted pivotally on the outer casing about a first pivot axis that extends along a diameter of the outer casing. The support member has a plate portion with first and second end portions, and a pair of spaced-apart arm portions extending from the first end portion of the plate portion. The arm portions flank the coupling ring, and are mounted pivotally on the coupling ring about a second pivot axis that extends along a diameter of the coupling ring and that is perpendicular to the first pivot axis. The base engages releasably the support member, and is adapted to be supported on a horizontal surface for disposing the outer casing above the horizontal surface. The inner toy body is disposed in the outer casing, and is in frictional contact with an inner surface of the outer casing. The inner toy body is movable in the outer casing to result in rolling movement of the outer casing relative to the coupling ring about the first pivot axis. "
Robot Initial,0,6414457,2/7/2002,Autonomous rolling robot,An autonomous rolling robot is in the form of a hollow sphere containing at least two sets of rotors. Each set of rotors includes a rotor mounted on a shaft which is driven by a motor. All of the shafts are radially mounted within the hollow sphere so that an extension of the shafts would intersect at the geometric center of the sphere. The center of mass of the robot is also located at the geometric center of the sphere.
Robot Initial,0,6902464,7/6/2005,Rolling toy,"A rolling toy includes a chassis, an electric power source attached to the chassis, a remote signal receiver, an electric motor attached to the chassis and receiving power from the power source in response to a signal received by the remote signal receiver, a pair of riding surface-engaging wheels mounted co-axially to the chassis and capable of rotating independently of one another, and wherein at least one of the wheels is driven to rotate by the electric motor, and a dome-shaped profile formed on each wheel and adapted to bear upon the riding surface to assist in righting the toy, should it topple in use."
Robot Initial,0,7327112,5/2/2008,Multiple leg tumbling robot,"A robot or vehicle locomotes by tumbling. Legs distributed over the surface of the robot individually extend or retract. A control system coordinates the action of the legs to cause the robot to tumble in any direction. A robot using this form of locomotion is highly maneuverable, can climb slopes, and can step over obstacles. It can provide a smooth ride on rugged terrain. A variation can jump into the air and land safely. A variation can be built with as few as six moving parts, can fold to fit into a projectile, and instantly unfold on landing. It may use airbags instead of legs. It can include a video system without moving parts that produces a stable, non-tumbling view of its surroundings while tumbling. It is an ideal remotely operated vehicle for search and rescue, firefighting, or reconnaissance for the military or police."
Robot Initial,0,8788130,22/7/2014,Electromagnet-based rolling robot,"A rolling device configured to adhere to and roll over a ferrous surface comprising: a structure, a controller, an inertial measurement unit (IMU), and a plurality of electromagnets. The structure has inner and outer surfaces and a closed-shape cross section. The electromagnets are mounted to the inner surface and distributed over a periphery of the structure. The controller is operatively coupled to each of the electromagnets. The IMU is mounted within the structure and operatively coupled to provide inertial measurements to the controller. The controller is configured to cause the structure to roll over the ferrous surface in a desired direction by selectively energizing individual electromagnets while de-energizing other electromagnets."
Robot Initial,0,9020639,28/4/2015,Multimodal dynamic robotic systems,"Robotic systems according to the invention include a frame or body with two or more wheels rotatably mounted on the frame or body and a motor for independently driving each wheel. A system controller generates a signal for actuating each motor based on information provided by one or more sensors in communication with the system controller for generating feedback signals for providing reactive actuation of the motors for generating one or more functions selected from the group consisting of forward motion, backward motion, climbing, hopping, balancing, throwing and catching. A power source is included for providing power to operate the drive motors, system controller and the one or more sensors."
